District,RentType,Area,Price,UnitPrice,HouseFloor,BuldFloor,ElevatorFlag,CommunityID,Geometry
HZ,Whole,120,6500,54,H,22,1,1461,"23 6m 16.3102s N, 113 15m 26.6968s E"
NS,Whole,39,1800,46,H,22,1,331,"22 47m 48.0202s N, 113 32m 28.4519s E"
NS,Whole,39,1800,46,H,22,1,331,"22 47m 48.0202s N, 113 32m 28.4519s E"
NS,Whole,40,1700,42,L,22,1,331,"22 47m 48.0202s N, 113 32m 28.4519s E"
NS,Whole,89,2600,29,L,18,1,131,"22 47m 35.5088s N, 113 31m 46.0103s E"
NS,Whole,85,1850,21,H,18,1,131,"22 47m 35.5088s N, 113 31m 46.0103s E"
HZ,Whole,92,6500,70,M,9,1,1464,"23 6m 16.5331s N, 113 18m 42.0331s E"
HZ,Whole,106,4800,45,7,25,1,1464,"23 6m 16.5331s N, 113 18m 42.0331s E"
BY,Whole,76,4200,55,L,15,1,905,"23 10m 22.5172s N, 113 15m 8.35451s E"
BY,Whole,70,3000,42,H,9,0,905,"23 10m 22.5172s N, 113 15m 8.35451s E"
TH,Whole,88,6500,73,H,16,1,992,"23 6m 59.0301s N, 113 22m 1.23571s E"
TH,Whole,77,5300,68,L,32,1,992,"23 6m 59.0301s N, 113 22m 1.23571s E"
TH,Whole,80,5600,70,H,18,1,992,"23 6m 59.0301s N, 113 22m 1.23571s E"
TH,Whole,79,5500,69,L,12,1,992,"23 6m 59.0301s N, 113 22m 1.23571s E"
TH,Whole,80,5200,65,M,15,1,992,"23 6m 59.0301s N, 113 22m 1.23571s E"
BY,Whole,126,6100,48,H,18,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
BY,Whole,130,6500,50,H,13,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
BY,Whole,87,3500,40,L,18,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
BY,Shared,9,1390,154,16,18,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
BY,Shared,8,1390,173,18,18,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
BY,Shared,11,1590,144,9,18,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
BY,Whole,126,6500,51,M,18,1,34,"23 13m 36.288s N, 113 16m 50.3764s E"
TH,Whole,90,5800,64,L,29,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
TH,Whole,108,8000,74,H,44,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
TH,Whole,124,7800,62,M,44,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
TH,Whole,79,5000,63,M,44,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
TH,Whole,65,4600,70,L,29,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
TH,Whole,105,5800,55,10,38,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
TH,Whole,87,5600,64,L,45,1,7,"23 6m 41.0319s N, 113 23m 52.927s E"
HP,Whole,38,2500,65,M,6,0,1168,"23 6m 24.5747s N, 113 27m 55.7591s E"
HP,Whole,69,3300,47,L,33,1,327,"23 9m 41.6602s N, 113 29m 53.2133s E"
HP,Whole,47,2000,42,L,12,1,327,"23 9m 41.6602s N, 113 29m 53.2133s E"
HP,Whole,70,4000,57,L,28,1,327,"23 9m 41.6602s N, 113 29m 53.2133s E"
HP,Whole,48,2000,41,M,12,0,327,"23 9m 41.6602s N, 113 29m 53.2133s E"
LW,Whole,27,3800,140,L,17,1,702,"23 6m 19.9211s N, 113 13m 37.418s E"
LW,Whole,28,3500,125,M,17,1,702,"23 6m 19.9211s N, 113 13m 37.418s E"
PY,Whole,93,4500,48,L,24,1,1472,"23 2m 13.0552s N, 113 18m 34.7378s E"
PY,Whole,98,4500,45,L,24,1,1472,"23 2m 13.0552s N, 113 18m 34.7378s E"
PY,Whole,95,4800,50,L,19,1,1472,"23 2m 13.0552s N, 113 18m 34.7378s E"
HZ,Whole,32,2800,87,M,19,1,1473,"23 4m 15.485s N, 113 18m 31.0826s E"
HZ,Whole,115,5800,50,M,19,1,1473,"23 4m 15.485s N, 113 18m 31.0826s E"
HZ,Whole,106,4500,42,M,29,1,1473,"23 4m 15.485s N, 113 18m 31.0826s E"
HZ,Shared,8,1360,170,5,19,0,1473,"23 4m 15.485s N, 113 18m 31.0826s E"
ZC,Whole,80,2100,26,M,12,1,32,"23 7m 14.5053s N, 113 37m 31.8985s E"
ZC,Whole,83,400,4,M,18,1,32,"23 7m 14.5053s N, 113 37m 31.8985s E"
ZC,Whole,116,1980,17,M,19,1,32,"23 7m 14.5053s N, 113 37m 31.8985s E"
ZC,Whole,43,1300,30,H,19,1,32,"23 7m 14.5053s N, 113 37m 31.8985s E"
BY,Whole,93,4000,43,L,9,1,1475,"23 9m 55.9506s N, 113 16m 24.7954s E"
BY,Whole,94,4500,47,L,9,1,1475,"23 9m 55.9506s N, 113 16m 24.7954s E"
PY,Whole,119,4000,33,L,11,1,1182,"23 1m 38.0337s N, 113 20m 36.7141s E"
PY,Whole,85,3300,38,L,11,1,1182,"23 1m 38.0337s N, 113 20m 36.7141s E"
PY,Whole,128,4000,31,L,12,1,1182,"23 1m 38.0337s N, 113 20m 36.7141s E"
YX,Whole,54,6000,111,H,32,1,1251,"23 7m 43.196s N, 113 15m 39.0692s E"
YX,Whole,60,6200,103,H,32,1,1251,"23 7m 43.196s N, 113 15m 39.0692s E"
YX,Whole,58,4800,82,M,32,1,1251,"23 7m 43.196s N, 113 15m 39.0692s E"
YX,Whole,56,5200,92,H,32,1,1251,"23 7m 43.196s N, 113 15m 39.0692s E"
PY,Whole,60,4500,75,H,18,1,504,"22 59m 49.4408s N, 113 19m 48.1253s E"
PY,Whole,60,4500,75,H,18,1,504,"22 59m 49.4408s N, 113 19m 48.1253s E"
PY,Whole,80,5200,65,M,32,1,504,"22 59m 49.4408s N, 113 19m 48.1253s E"
LW,Whole,15,1335,89,H,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,15,1335,89,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,12,1670,139,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,11,1610,146,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,12,1670,139,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,15,1335,89,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,15,1335,89,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,15,1335,89,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,15,1335,89,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
LW,Whole,15,1335,89,L,2,0,1479,"23 4m 21.8433s N, 113 13m 51.0293s E"
BY,Whole,76,3500,46,L,32,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,123,5300,43,L,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,83,4000,48,H,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,113,4800,42,H,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,81,3800,46,M,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,81,4100,50,H,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,98,4700,47,29,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,108,5000,46,M,32,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,80,4000,50,H,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,86,4000,46,L,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,76,3200,42,H,16,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,83,4000,48,M,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,76,3500,46,H,32,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
BY,Whole,83,4300,51,M,30,1,193,"23 9m 4.40878s N, 113 13m 39.2012s E"
TH,Whole,35,2800,80,L,26,1,1197,"23 9m 37.4569s N, 113 19m 25.5455s E"
TH,Whole,85,1700,20,H,22,1,1197,"23 9m 37.4569s N, 113 19m 25.5455s E"
TH,Shared,16,2190,136,13,22,1,1197,"23 9m 37.4569s N, 113 19m 25.5455s E"
BY,Whole,100,5500,55,M,31,0,1482,"23 11m 32.6943s N, 113 14m 46.5642s E"
BY,Whole,100,5800,58,H,33,0,1482,"23 11m 32.6943s N, 113 14m 46.5642s E"
BY,Whole,86,5000,58,M,32,0,1482,"23 11m 32.6943s N, 113 14m 46.5642s E"
